codelist_name,concept_id,concept_name,standard_concept
myocardial_infarction,45766075,Acute anterior ST segment elevation myocardial infarction,S
myocardial_infarction,4178129,Acute anteroapical myocardial infarction,S
myocardial_infarction,4267568,Acute anteroseptal myocardial infarction,S
myocardial_infarction,312327,Acute myocardial infarction,S
myocardial_infarction,44782769,Acute myocardial infarction due to left coronary artery occlusion,S
myocardial_infarction,44782712,Acute myocardial infarction due to right coronary artery occlusion,S
myocardial_infarction,45766115,Acute myocardial infarction during procedure,S
myocardial_infarction,434376,Acute myocardial infarction of anterior wall,S
myocardial_infarction,45766150,Acute myocardial infarction of anterior wall involving right ventricle,S
myocardial_infarction,438438,Acute myocardial infarction of anterolateral wall,S
myocardial_infarction,4243372,Acute myocardial infarction of apical-lateral wall,S
myocardial_infarction,4108669,Acute myocardial infarction of atrium,S
myocardial_infarction,4151046,Acute myocardial infarction of basal-lateral wall,S
myocardial_infarction,4275436,Acute myocardial infarction of high lateral wall,S
myocardial_infarction,438170,Acute myocardial infarction of inferior wall,S
myocardial_infarction,45771322,Acute myocardial infarction of inferior wall involving right ventricle,S
myocardial_infarction,438447,Acute myocardial infarction of inferolateral wall,S
myocardial_infarction,441579,Acute myocardial infarction of inferoposterior wall,S
myocardial_infarction,436706,Acute myocardial infarction of lateral wall,S
myocardial_infarction,4324413,Acute myocardial infarction of posterobasal wall,S
myocardial_infarction,4051874,Acute myocardial infarction of posterolateral wall,S
myocardial_infarction,4303359,Acute myocardial infarction of septum,S
myocardial_infarction,4145721,Acute non-Q wave infarction,S
myocardial_infarction,4119944,Acute non-Q wave infarction - anterolateral,S
myocardial_infarction,4119456,Acute non-Q wave infarction - anteroseptal,S
myocardial_infarction,4119945,Acute non-Q wave infarction - inferior,S
myocardial_infarction,4119946,Acute non-Q wave infarction - inferolateral,S
myocardial_infarction,4121466,Acute non-Q wave infarction - lateral,S
myocardial_infarction,4124685,Acute non-Q wave infarction - widespread,S
myocardial_infarction,4270024,Acute non-ST segment elevation myocardial infarction,S
myocardial_infarction,35610091,Acute nontransmural myocardial infarction,S
myocardial_infarction,319039,Acute posterior myocardial infarction,S
myocardial_infarction,4119457,Acute Q wave infarction - anterolateral,S
myocardial_infarction,4119943,Acute Q wave infarction - anteroseptal,S
myocardial_infarction,4121464,Acute Q wave infarction - inferior,S
myocardial_infarction,4121465,Acute Q wave infarction - inferolateral,S
myocardial_infarction,4124684,Acute Q wave infarction - lateral,S
myocardial_infarction,4119948,Acute Q wave infarction - widespread,S
myocardial_infarction,4126801,Acute Q wave myocardial infarction,S
