codelist_name,concept_id,concept_name,standard_concept
alcohol_misuse_dependence,4338024,Absinthe addiction,S
alcohol_misuse_dependence,433735,Acute alcoholic intoxication in alcoholism,N
alcohol_misuse_dependence,432609,"Acute alcoholic intoxication in remission, in alcoholism",N
alcohol_misuse_dependence,433753,Alcohol abuse,S
alcohol_misuse_dependence,435243,Alcohol dependence,S
alcohol_misuse_dependence,45757131,Alcohol dependence in childbirth,S
alcohol_misuse_dependence,45757093,Alcohol dependence in pregnancy,S
alcohol_misuse_dependence,4218106,Alcoholism,S
alcohol_misuse_dependence,44788303,Alcohol misuse enhanced service completed,S
alcohol_misuse_dependence,44788279,Alcohol misuse enhanced services administration,S
alcohol_misuse_dependence,439005,Chronic alcoholism in remission,S
alcohol_misuse_dependence,436953,Continuous chronic alcoholism,S
alcohol_misuse_dependence,378726,Dementia associated with alcoholism,S
alcohol_misuse_dependence,4275257,Detoxication psychiatric therapy for alcoholism,S
alcohol_misuse_dependence,435532,Episodic chronic alcoholism,S
alcohol_misuse_dependence,37017329,Mild alcohol dependence,S
alcohol_misuse_dependence,37018356,Moderate alcohol dependence,S
alcohol_misuse_dependence,4152165,Nondependent alcohol abuse,S
alcohol_misuse_dependence,435534,"Nondependent alcohol abuse, continuous",S
alcohol_misuse_dependence,440685,"Nondependent alcohol abuse, episodic",S
alcohol_misuse_dependence,441276,Nondependent alcohol abuse in remission,S
alcohol_misuse_dependence,4109691,Persistent alcohol abuse,S
alcohol_misuse_dependence,37017563,Severe alcohol dependence,S
anxiety,442077,Anxiety disorder,S
asthma,257581,Acute asthma,S
asthma,45769441,Acute exacerbation of allergic asthma,S
asthma,46273452,Acute exacerbation of asthma co-occurrent with allergic rhinitis,S
asthma,40481763,Acute exacerbation of chronic asthmatic bronchitis,S
asthma,43530693,Acute exacerbation of chronic obstructive airways disease with asthma,S
asthma,37159957,Acute exacerbation of intermittent allergic asthma,S
asthma,45773005,Acute exacerbation of intrinsic asthma,S
asthma,37159958,Acute exacerbation of moderate persistent allergic asthma,S
asthma,36684328,Acute severe exacerbation of allergic asthma,S
asthma,45769438,Acute severe exacerbation of asthma,S
asthma,46269767,Acute severe exacerbation of asthma co-occurrent with allergic rhinitis,S
asthma,45769442,Acute severe exacerbation of immunoglobin E-mediated allergic asthma,S
asthma,45769443,Acute severe exacerbation of intrinsic asthma,S
asthma,46274124,Acute severe exacerbation of mild persistent allergic asthma,S
asthma,46269777,Acute severe exacerbation of mild persistent allergic asthma co-occurrent with allergic rhinitis,S
asthma,45769352,Acute severe exacerbation of mild persistent asthma,S
asthma,46273462,Acute severe exacerbation of moderate persistent allergic asthma,S
asthma,45769351,Acute severe exacerbation of moderate persistent asthma,S
asthma,46269785,Acute severe exacerbation of moderate persistent asthma co-occurrent with allergic rhinitis,S
asthma,46274059,Acute severe exacerbation of severe persistent allergic asthma,S
asthma,45769350,Acute severe exacerbation of severe persistent asthma,S
asthma,46269771,Acute severe exacerbation of severe persistent asthma co-occurrent with allergic rhinitis,S
asthma,37116845,Acute severe refractory exacerbation of asthma,S
asthma,4191479,Allergic asthma,S
asthma,45766728,Allergic asthma due to Dermatophagoides farinae,S
asthma,45766727,Allergic asthma due to Dermatophagoides pteronyssinus,S
asthma,4271333,Allergic asthma without status asthmaticus,S
asthma,46269801,Aspirin exacerbated respiratory disease,S
asthma,4250128,Aspirin-induced asthma,S
asthma,317009,Asthma,S
asthma,4211530,Asthma caused by wood dust,S
asthma,46274062,Asthma-chronic obstructive pulmonary disease overlap syndrome,S
asthma,45772073,Asthma in mother complicating childbirth,S
asthma,42535716,Asthma in pregnancy,S
asthma,4235703,Asthma management,S
asthma,44783610,Asthma self management,S
asthma,4233784,Asthmatic bronchitis,S
asthma,252942,Asthmatic pulmonary eosinophilia,S
asthma,43530745,Asthma with irreversible airway obstruction,S
asthma,4206340,Asthma without status asthmaticus,S
asthma,4143474,Bakers' asthma,S
asthma,4075237,Brittle asthma,S
asthma,4225553,Cheese-makers' asthma,S
asthma,4245676,Chemical-induced asthma,S
asthma,4051466,Childhood asthma,S
asthma,256448,Chronic asthmatic bronchitis,S
asthma,44810117,Chronic asthma with fixed airflow obstruction,S
asthma,46269802,Chronic obstructive asthma co-occurrent with acute exacerbation of asthma,S
asthma,4119300,Colophony asthma,S
asthma,313236,Cough variant asthma,S
asthma,4120262,Cryptogenic pulmonary eosinophilia,S
asthma,4217558,Detergent asthma,S
asthma,4244339,Drug-induced asthma,S
asthma,42538744,Exacerbation of allergic asthma,S
asthma,36684335,Exacerbation of allergic asthma due to infection,S
asthma,1340255,Exacerbation of asthma,S
asthma,4138760,Exacerbation of intermittent asthma,S
asthma,45768911,Exacerbation of mild persistent asthma,S
asthma,45772937,Exacerbation of moderate persistent asthma,S
asthma,45768912,Exacerbation of severe persistent asthma,S
asthma,443801,Exercise-induced asthma,S
asthma,4123253,Hay fever with asthma,S
asthma,312950,IgE-mediated allergic asthma,S
asthma,761844,Inhaled steroid-dependent asthma,S
asthma,37310241,Intermittent allergic asthma,S
asthma,4141978,Intermittent asthma,S
asthma,46270030,Intermittent asthma co-occurrent with allergic rhinitis,S
asthma,46270322,Intermittent asthma uncontrolled,S
asthma,4145497,Intrinsic asthma,S
asthma,252658,Intrinsic asthma without status asthmaticus,S
asthma,4225554,Isocyanate induced asthma,S
asthma,4119298,Late onset asthma,S
asthma,35609846,Life threatening acute exacerbation of allergic asthma,S
asthma,42536207,Life threatening acute exacerbation of asthma,S
asthma,35609847,Life threatening acute exacerbation of intrinsic asthma,S
asthma,4057952,Meat-wrappers' asthma,S
asthma,4155468,Mild asthma,S
asthma,4146581,Mild intermittent asthma,S
asthma,46269776,Mild persistent allergic asthma,S
